unit_number,street_address_1,street_address_2,city,state,zip,building_number,association_number,folio,strap
326,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502568,31-44-25-P3-01403.0326
1023,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511485,31-44-25-P3-01610.1023
226,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502556,31-44-25-P3-01402.0226
1512,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505627,31-44-25-P3-01415.1512
1724,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508190,31-44-25-P3-01417.1724
823,4214 BELLASOL CIRCLE,,FORT MYERS,FL,33916,8,4,10511467,31-44-25-P3-01608.0823
825,4214 BELLASOL CIRCLE,,FORT MYERS,FL,33916,8,4,10511469,31-44-25-P3-01608.0825
511,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511495,31-44-25-P3-01505.0511
2223,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517690,31-44-25-P3-01722.2223
912,4222 BELLASOL CIRCLE,,FORT MYERS,FL,33916,9,4,10511472,31-44-25-P3-01609.0912
1511,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505626,31-44-25-P3-01415.1511
522,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511500,31-44-25-P3-01505.0522
3121,4324 BELLASOL CIRCLE,,FORT MYERS,FL,33916,31,7,10499638,31-44-25-P3-01331.3121
2922,4336 BELLASOL CIRCLE,,FORT MYERS,FL,33916,29,7,10508318,31-44-25-P3-01329.2922
413,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511489,31-44-25-P3-01504.0413
1421,4128 BELLASOL CIRCLE,,FORT MYERS,FL,33916,14,2,10505622,31-44-25-P3-01414.1421
1422,4128 BELLASOL CIRCLE,,FORT MYERS,FL,33916,14,2,10505623,31-44-25-P3-01414.1422
1111,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503625,31-44-25-P3-01311.1111
3322,4312 BELLASOL CIRCLE,,FORT MYERS,FL,33916,33,7,10508326,31-44-25-P3-01333.3322
225,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502555,31-44-25-P3-01402.0225
524,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511502,31-44-25-P3-01505.0524
3221,4318 BELLASOL CIRCLE,,FORT MYERS,FL,33916,32,7,10508321,31-44-25-P3-01332.3221
321,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502563,31-44-25-P3-01403.0321
624,4199 BELLASOL CIRCLE,,FORT MYERS,FL,33916,6,3,10517575,31-44-25-P3-01506.0624
3211,4318 BELLASOL CIRCLE,,FORT MYERS,FL,33916,32,7,10508319,31-44-25-P3-01332.3211
2322,4281 BELLASOL CIRCLE,,FORT MYERS,FL,33916,23,6,10517093,31-44-25-P3-01823.2322
1812,4233 BELLASOL CIRCLE,,FORT MYERS,FL,33916,18,5,10512607,31-44-25-P3-01718.1812
2324,4281 BELLASOL CIRCLE,,FORT MYERS,FL,33916,23,6,10517095,31-44-25-P3-01823.2324
411,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511487,31-44-25-P3-01504.0411
1524,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505633,31-44-25-P3-01415.1524
3021,4330 BELLASOL CIRCLE,,FORT MYERS,FL,33916,30,7,10499634,31-44-25-P3-01330.3021
221,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502551,31-44-25-P3-01402.0221
1112,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503626,31-44-25-P3-01311.1112
